owner_project,teamno,noofmembers,concerned_years,noofyears,proj_size,proj_language,proj_age,median_pr_merged,stanfordandgender,stanfordandgenderwithoutNAN,eth_stanandnameprism_st,eth_stanandnameprism_st_withoutNAN,knownethnicityprop,knowngenderprop,atleast75genprop,ethblau_st_cat,eth_blau_index,gender_blau_index,project_star_count,project_watchers_count,project_language,project_forks_count
dotcloud_docker,157,7,"['2017', '2016', '2018']",3,146680,Go,2173,4,"['male', 'male', 'male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'White', 'White', 'White', 'White']","['White', 'White', 'White', 'White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0,55838,55838,Go,16120
dotnet_corefx,1531,4,"['2018', '2017', '2016']",3,235269,,1516,0.5,"['male', 'male', 'female', 'male']","['male', 'male', 'female', 'male']","['White', 'White', 'White', 'White']","['White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0.375,17822,17822,,5478
mono_MonoGame,152,5,"['2016', '2018']",2,81208,C#,2825,2,"['male', 'male', 'male', 'male', 'UnKnown']","['male', 'male', 'male', 'male', 'UnKnown']","['White', 'Hispanic', 'White', 'White', 'NAN']","['White', 'Hispanic', 'White', 'White', 'Unknown']",0.8,0.8,1,heterogeneous,0.375,0,6286,6286,C#,2315
openlayers_ol3,88,5,"['2018', '2016', '2015']",3,89424,JavaScript,2385,16,"['male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'White', 'White']","['White', 'White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0,6082,6082,JavaScript,2117
openlayers_openlayers,88,5,"['2018', '2016', '2015']",3,89424,JavaScript,2385,16,"['male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'White', 'White']","['White', 'White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0,6082,6082,JavaScript,2117
numpy_numpy,191,3,"['2018', '2017']",2,72711,C,3031,16,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'White', 'White']","['White', 'White', 'White']",1,1,1,homogeneous,0,0,12486,12486,C,4094
matplotlib_matplotlib,75,5,"['2018', '2017']",2,361528,Python,2872,35,"['male', 'male', 'male', 'female', 'female']","['male', 'male', 'male', 'female', 'female']","['White', 'White', 'White', 'White', 'White']","['White', 'White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0.48,10532,10532,Python,4672
RIOT-OS_RIOT,188,9,"['2018', '2017']",2,75063,C,2193,13,"['female', 'female', 'male', 'male', 'male', 'female', 'male', 'male', 'UnKnown']","['female', 'female', 'male', 'male', 'male', 'female', 'male', 'male', 'UnKnown']","['White', 'White', 'White', 'White', 'Hispanic', 'White', 'White', 'Hispanic', 'NAN']","['White', 'White', 'White', 'White', 'Hispanic', 'White', 'White', 'Hispanic', 'Unknown']",0.888888889,0.888888889,1,heterogeneous,0.375,0.46875,3030,3030,C,1478
owncloud_documentation,71,5,"['2017', '2018']",2,147613,CSS,2257,3,"['male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'White', 'Unknown']","['White', 'White', 'White', 'White', 'Unknown']",0.8,1,1,heterogeneous,0,0,190,190,CSS,193
mantidproject_mantid,9,6,['2018'],1,596039,C++,2632,9.5,"['male', 'male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'White', 'White', 'White']","['White', 'White', 'White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0,121,121,C++,74
sensu_sensu-docs,8,4,['2018'],1,43660,HTML,532,11,"['male', 'male', 'male', 'male']","['male', 'male', 'male', 'male']","['Unknown', 'White', 'White', 'White']","['Unknown', 'White', 'White', 'White']",0.75,1,1,heterogeneous,0,0,25,25,HTML,41
dotcloud_docker,237,6,"['2017', '2016', '2018']",3,146680,Go,2173,8,"['male', 'male', 'unisex', 'male', 'male', 'unisex']","['male', 'male', 'unisex', 'male', 'male', 'unisex']","['White', 'White', 'Unknown', 'White', 'API', 'API']","['White', 'White', 'Unknown', 'White', 'API', 'API']",0.833333333,1,1,heterogeneous,0.48,0.444444444,55838,55838,Go,16120
Icinga_icinga2,15,5,"['2018', '2017']",2,46679,C++,1951,12,"['male', 'female', 'male', 'male', 'male']","['male', 'female', 'male', 'male', 'male']","['White', 'White', 'White', 'White', 'White']","['White', 'White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0.32,1323,1323,C++,442
ldc-developers_ldc,13,5,"['2017', '2016', '2018']",3,33257,D,2702,5,"['male', 'male', 'male', 'UnKnown', 'male']","['male', 'male', 'male', 'UnKnown', 'male']","['White', 'White', 'White', 'NAN', 'White']","['White', 'White', 'White', 'Unknown', 'White']",0.8,0.8,1,heterogeneous,0,0,838,838,D,183
RIOT-OS_RIOT,242,11,['2018'],1,75063,C,2193,25,"['female', 'male', 'male', 'male', 'male', 'male', 'male', 'UnKnown', 'male', 'female', 'male']","['female', 'male', 'male', 'male', 'male', 'male', 'male', 'UnKnown', 'male', 'female', 'male']","['White', 'White', 'White', 'Unknown', 'White', 'White', 'White', 'NAN', 'White', 'White', 'Hispanic']","['White', 'White', 'White', 'Unknown', 'White', 'White', 'White', 'Unknown', 'White', 'White', 'Hispanic']",0.818181818,0.909090909,1,heterogeneous,0.197530864,0.32,3030,3030,C,1478
MovingBlocks_Terasology,31,3,"['2017', '2016', '2018']",3,289019,Java,2859,4,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'API', 'White']","['White', 'API', 'White']",1,1,1,heterogeneous,0.444444444,0,2702,2702,Java,1210
NixOS_nix,54,6,"['2018', '2017']",2,23648,C++,2518,1,"['male', 'male', 'male', 'UnKnown', 'male', 'male']","['male', 'male', 'male', 'UnKnown', 'male', 'male']","['White', 'White', 'White', 'White', 'White', 'White']","['White', 'White', 'White', 'White', 'White', 'White']",1,0.833333333,1,homogeneous,0,0,2866,2866,C++,502
MovingBlocks_Terasology,39,3,['2018'],1,289019,Java,2859,1,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'White', 'White']","['White', 'White', 'White']",1,1,1,homogeneous,0,0,2702,2702,Java,1210
contao_core-bundle,42,4,"['2017', '2018', '2015']",3,48060,PHP,1670,4,"['male', 'male', 'unisex', 'male']","['male', 'male', 'unisex', 'male']","['White', 'White', 'White', 'White']","['White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0.375,111,111,PHP,60
rabbitmq_rabbitmq-server,12,3,"['2016', '2018']",2,81209,Erlang,3024,2,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'White', 'White']","['White', 'White', 'White']",1,1,1,homogeneous,0,0,6594,6594,Erlang,2134
ContinuumIO_Bokeh,54,3,"['2018', '2017']",2,151548,Python,2471,25,"['male', 'male', 'male']","['male', 'male', 'male']","['API', 'White', 'White']","['API', 'White', 'White']",1,1,1,heterogeneous,0.444444444,0,12481,12481,Python,3158
rtfd_readthedocs.org,108,3,"['2018', '2016']",2,65097,Python,3059,3,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'Hispanic', 'White']","['White', 'Hispanic', 'White']",1,1,1,heterogeneous,0.444444444,0,5550,5550,Python,3010
mantidproject_mantid,179,9,['2018'],1,596039,C++,2632,7,"['male', 'male', 'male', 'male', 'male', 'female', 'UnKnown', 'male', 'male']","['male', 'male', 'male', 'male', 'male', 'female', 'UnKnown', 'male', 'male']","['White', 'White', 'White', 'White', 'White', 'White', 'NAN', 'White', 'White']","['White', 'White', 'White', 'White', 'White', 'White', 'Unknown', 'White', 'White']",0.888888889,0.888888889,1,heterogeneous,0,0.21875,121,121,C++,74
HoTT_HoTT,13,7,"['2013', '2018', '2017', '2016', '2014']",5,439650,Coq,2837,1,"['male', 'male', 'UnKnown', 'male', 'male', 'female', 'male']","['male', 'male', 'UnKnown', 'male', 'male', 'female', 'male']","['White', 'White', 'Unknown', 'White', 'White', 'White', 'White']","['White', 'White', 'Unknown', 'White', 'White', 'White', 'White']",0.857142857,0.857142857,1,heterogeneous,0,0.277777778,781,781,Coq,130
astropy_astroquery,28,4,"['2015', '2016', '2014', '2013', '2012', '2018']",6,63095,Python,2380,1.5,"['male', 'female', 'male', 'male']","['male', 'female', 'male', 'male']","['White', 'White', 'White', 'White']","['White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0.375,254,254,Python,221
silverstripe_silverstripe-framework,47,4,"['2018', '2017', '2016', '2015', '2014']",5,104859,PHP,2889,2.5,"['male', 'male', 'UnKnown', 'male']","['male', 'male', 'UnKnown', 'male']","['White', 'White', 'White', 'White']","['White', 'White', 'White', 'White']",1,0.75,1,homogeneous,0,0,670,670,PHP,753
matrix-org_synapse,81,4,"['2018', '2017', '2016']",3,67114,Python,1603,10,"['male', 'male', 'male', 'male']","['male', 'male', 'male', 'male']","['White', 'White', 'Unknown', 'White']","['White', 'White', 'Unknown', 'White']",0.75,1,1,heterogeneous,0,0,4979,4979,Python,854
astropy_astroquery,29,4,"['2015', '2016', '2014', '2013', '2012', '2018']",6,63095,Python,2380,1.5,"['male', 'female', 'male', 'male']","['male', 'female', 'male', 'male']","['White', 'White', 'White', 'White']","['White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0.375,254,254,Python,221
BOINC_boinc,32,7,"['2018', '2017']",2,241078,PHP,1427,9,"['male', 'male', 'male', 'male', 'male', 'UnKnown', 'male']","['male', 'male', 'male', 'male', 'male', 'UnKnown', 'male']","['White', 'White', 'White', 'White', 'White', 'NAN', 'White']","['White', 'White', 'White', 'White', 'White', 'Unknown', 'White']",0.857142857,0.857142857,1,heterogeneous,0,0,993,993,PHP,307
NixOS_nix,55,6,"['2018', '2017', '2016']",3,23648,C++,2518,1,"['male', 'male', 'male', 'UnKnown', 'male', 'female']","['male', 'male', 'male', 'UnKnown', 'male', 'female']","['White', 'White', 'White', 'White', 'White', 'White']","['White', 'White', 'White', 'White', 'White', 'White']",1,0.833333333,1,homogeneous,0,0.32,2866,2866,C++,502
kivy_kivy,94,6,"['2018', '2017', '2016', '2015']",4,72720,Python,2980,1,"['male', 'UnKnown', 'male', 'male', 'male', 'male']","['male', 'UnKnown', 'male', 'male', 'male', 'male']","['White', 'NAN', 'White', 'White', 'White', 'White']","['White', 'Unknown', 'White', 'White', 'White', 'White']",0.833333333,0.833333333,1,heterogeneous,0,0,10431,10431,Python,2301
pypa_pip,183,5,"['2018', '2013']",2,56732,Python,2857,7,"['male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male']","['API', 'White', 'White', 'White', 'White']","['API', 'White', 'White', 'White', 'White']",1,1,1,heterogeneous,0.32,0,5888,5888,Python,1914
projectblacklight_blacklight,14,4,"['2015', '2014', '2013', '2018']",4,41403,Ruby,3349,2,"['male', 'male', 'male', 'male']","['male', 'male', 'male', 'male']","['White', 'White', 'White', 'White']","['White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0,619,619,Ruby,232
mantidproject_mantid,66,9,['2018'],1,596039,C++,2632,9,"['male', 'male', 'male', 'male', 'UnKnown', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'UnKnown', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'White', 'NAN', 'White', 'White', 'White', 'White']","['White', 'White', 'White', 'White', 'Unknown', 'White', 'White', 'White', 'White']",0.888888889,0.888888889,1,heterogeneous,0,0,121,121,C++,74
pods-framework_pods,92,4,['2018'],1,41445,PHP,2827,4.5,"['male', 'UnKnown', 'male', 'male']","['male', 'UnKnown', 'male', 'male']","['White', 'Unknown', 'White', 'White']","['White', 'Unknown', 'White', 'White']",0.75,0.75,1,heterogeneous,0,0,815,815,PHP,233
dotcloud_docker,243,6,"['2017', '2016', '2018']",3,146680,Go,2173,5.5,"['male', 'male', 'male', 'male', 'male', 'UnKnown']","['male', 'male', 'male', 'male', 'male', 'UnKnown']","['White', 'White', 'API', 'White', 'White', 'White']","['White', 'White', 'API', 'White', 'White', 'White']",1,0.833333333,1,heterogeneous,0.277777778,0,55838,55838,Go,16120
rear_rear,26,5,"['2017', '2018']",2,7950,Shell,2511,11,"['male', 'male', 'UnKnown', 'male', 'male']","['male', 'male', 'UnKnown', 'male', 'male']","['White', 'White', 'NAN', 'White', 'White']","['White', 'White', 'Unknown', 'White', 'White']",0.8,0.8,1,heterogeneous,0,0,446,446,Shell,178
pypa_pip,171,4,"['2018', '2017', '2016']",3,56732,Python,2857,2.5,"['male', 'male', 'male', 'UnKnown']","['male', 'male', 'male', 'UnKnown']","['API', 'White', 'White', 'Unknown']","['API', 'White', 'White', 'Unknown']",0.75,0.75,1,heterogeneous,0.444444444,0,5888,5888,Python,1914
numpy_numpy,306,6,"['2018', '2017', '2016', '2015']",4,72711,C,3031,7,"['male', 'male', 'male', 'male', 'UnKnown', 'male']","['male', 'male', 'male', 'male', 'UnKnown', 'male']","['White', 'White', 'White', 'White', 'NAN', 'White']","['White', 'White', 'White', 'White', 'Unknown', 'White']",0.833333333,0.833333333,1,heterogeneous,0,0,12486,12486,C,4094
projectblacklight_blacklight,11,5,"['2015', '2014', '2018', '2016']",4,41403,Ruby,3349,1,"['male', 'male', 'male', 'male', 'female']","['male', 'male', 'male', 'male', 'female']","['White', 'White', 'White', 'White', 'White']","['White', 'White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0.32,619,619,Ruby,232
manastech_crystal,62,5,"['2018', '2017', '2016']",3,43155,Crystal,2225,8,"['male', 'UnKnown', 'male', 'female', 'male']","['male', 'UnKnown', 'male', 'female', 'male']","['Unknown', 'API', 'White', 'White', 'Hispanic']","['Unknown', 'API', 'White', 'White', 'Hispanic']",0.8,0.8,1,heterogeneous,0.625,0.375,14175,14175,Crystal,1098
dotcloud_docker,245,6,"['2017', '2016', '2018']",3,146680,Go,2173,8,"['male', 'male', 'male', 'male', 'male', 'unisex']","['male', 'male', 'male', 'male', 'male', 'unisex']","['White', 'White', 'API', 'White', 'White', 'API']","['White', 'White', 'API', 'White', 'White', 'API']",1,1,1,heterogeneous,0.444444444,0.277777778,55838,55838,Go,16120
HoTT_HoTT,12,7,"['2013', '2018', '2017', '2016', '2014']",5,439650,Coq,2837,1,"['male', 'male', 'UnKnown', 'male', 'male', 'female', 'male']","['male', 'male', 'UnKnown', 'male', 'male', 'female', 'male']","['White', 'White', 'Unknown', 'White', 'White', 'White', 'Hispanic']","['White', 'White', 'Unknown', 'White', 'White', 'White', 'Hispanic']",0.857142857,0.857142857,1,heterogeneous,0.277777778,0.277777778,781,781,Coq,130
RIOT-OS_RIOT,231,8,"['2018', '2017']",2,75063,C,2193,18,"['female', 'male', 'male', 'male', 'male', 'UnKnown', 'male', 'male']","['female', 'male', 'male', 'male', 'male', 'UnKnown', 'male', 'male']","['White', 'White', 'White', 'Unknown', 'White', 'NAN', 'White', 'Hispanic']","['White', 'White', 'White', 'Unknown', 'White', 'Unknown', 'White', 'Hispanic']",0.75,0.875,1,heterogeneous,0.277777778,0.244897959,3030,3030,C,1478
contao_core-bundle,47,6,"['2017', '2016', '2018']",3,48060,PHP,1670,9,"['male', 'male', 'unisex', 'male', 'male', 'male']","['male', 'male', 'unisex', 'male', 'male', 'male']","['White', 'White', 'White', 'White', 'White', 'White']","['White', 'White', 'White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0.277777778,111,111,PHP,60
silverstripe_silverstripe-framework,31,3,"['2018', '2017', '2016', '2015']",4,104859,PHP,2889,1,"['male', 'UnKnown', 'male']","['male', 'UnKnown', 'male']","['White', 'White', 'White']","['White', 'White', 'White']",1,0.666666667,0,homogeneous,0,0,670,670,PHP,753
kripken_emscripten,31,5,"['2018', '2017', '2015']",3,198277,C++,2879,30,"['male', 'UnKnown', 'male', 'male', 'male']","['male', 'UnKnown', 'male', 'male', 'male']","['White', 'Unknown', 'White', 'White', 'White']","['White', 'Unknown', 'White', 'White', 'White']",0.8,0.8,1,heterogeneous,0,0,18298,18298,C++,2179
KhronosGroup_glTF,51,7,"['2016', '2017', '2018']",3,181012,HTML,2161,3,"['male', 'male', 'male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'Unknown', 'API', 'White', 'API']","['White', 'White', 'White', 'Unknown', 'API', 'White', 'API']",0.857142857,1,1,heterogeneous,0.444444444,0,3574,3574,HTML,654
haskell_cabal,55,3,"['2018', '2017', '2016', '2015', '2014']",5,35898,Haskell,2482,1,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'White', 'White']","['White', 'White', 'White']",1,1,1,homogeneous,0,0,1092,1092,Haskell,489
concrete5_concrete5-5.7.0,26,6,"['2018', '2017']",2,121057,PHP,1714,7.5,"['male', 'male', 'male', 'UnKnown', 'male', 'UnKnown']","['male', 'male', 'male', 'UnKnown', 'male', 'UnKnown']","['White', 'White', 'White', 'Unknown', 'White', 'API']","['White', 'White', 'White', 'Unknown', 'White', 'API']",0.833333333,0.666666667,0,heterogeneous,0.32,0,611,611,PHP,390
schemaorg_schemaorg,71,3,['2018'],1,65877,HTML,1796,1,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'White', 'White']","['White', 'White', 'White']",1,1,1,homogeneous,0,0,3398,3398,HTML,641
dotcloud_docker,252,8,"['2017', '2016', '2018']",3,146680,Go,2173,5.5,"['male', 'male', 'male', 'UnKnown', 'male', 'male', 'male', 'unisex']","['male', 'male', 'male', 'UnKnown', 'male', 'male', 'male', 'unisex']","['White', 'White', 'White', 'White', 'API', 'White', 'White', 'API']","['White', 'White', 'White', 'White', 'API', 'White', 'White', 'API']",1,0.875,1,heterogeneous,0.375,0.244897959,55838,55838,Go,16120
RIOT-OS_RIOT,183,9,"['2018', '2017']",2,75063,C,2193,19,"['female', 'female', 'male', 'male', 'male', 'male', 'male', 'female', 'male']","['female', 'female', 'male', 'male', 'male', 'male', 'male', 'female', 'male']","['White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Hispanic']","['White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Hispanic']",1,1,1,heterogeneous,0.197530864,0.444444444,3030,3030,C,1478
astropy_astroquery,35,4,"['2015', '2016', '2014', '2013', '2012', '2018', '2017']",7,63095,Python,2380,2,"['male', 'female', 'male', 'male']","['male', 'female', 'male', 'male']","['White', 'White', 'White', 'White']","['White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0.375,254,254,Python,221
owncloud_documentation,76,5,"['2017', '2018']",2,147613,CSS,2257,2,"['male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'Unknown', 'White']","['White', 'White', 'White', 'Unknown', 'White']",0.8,1,1,heterogeneous,0,0,190,190,CSS,193
numpy_numpy,163,3,"['2018', '2017']",2,72711,C,3031,2,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'White', 'White']","['White', 'White', 'White']",1,1,1,homogeneous,0,0,12486,12486,C,4094
AnalyticalGraphicsInc_cesium,153,5,"['2018', '2017']",2,355698,JavaScript,2495,13,"['male', 'female', 'UnKnown', 'male', 'male']","['male', 'female', 'UnKnown', 'male', 'male']","['White', 'White', 'NAN', 'White', 'White']","['White', 'White', 'Unknown', 'White', 'White']",0.8,0.8,1,heterogeneous,0,0.375,5250,5250,JavaScript,1996
mantidproject_mantid,171,8,['2018'],1,596039,C++,2632,11,"['male', 'male', 'male', 'male', 'male', 'male', 'UnKnown', 'female']","['male', 'male', 'male', 'male', 'male', 'male', 'UnKnown', 'female']","['White', 'White', 'White', 'White', 'White', 'White', 'NAN', 'White']","['White', 'White', 'White', 'White', 'White', 'White', 'Unknown', 'White']",0.875,0.875,1,heterogeneous,0,0.244897959,121,121,C++,74
dotcloud_docker,194,8,"['2017', '2016', '2018']",3,146680,Go,2173,7,"['male', 'male', 'male', 'male', 'male', 'male', 'UnKnown', 'male']","['male', 'male', 'male', 'male', 'male', 'male', 'UnKnown', 'male']","['White', 'White', 'White', 'White', 'White', 'White', 'White', 'White']","['White', 'White', 'White', 'White', 'White', 'White', 'White', 'White']",1,0.875,1,homogeneous,0,0,55838,55838,Go,16120
appium_appium,186,5,"['2018', '2017', '2016']",3,84175,JavaScript,2182,5,"['male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'White', 'API']","['White', 'White', 'White', 'White', 'API']",1,1,1,heterogeneous,0.32,0,10630,10630,JavaScript,4308
AnalyticalGraphicsInc_cesium,7,4,"['2018', '2017']",2,355698,JavaScript,2495,7.5,"['male', 'male', 'male', 'male']","['male', 'male', 'male', 'male']","['White', 'White', 'White', 'White']","['White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0,5250,5250,JavaScript,1996
mono_MonoGame,109,4,"['2017', '2016', '2018']",3,81208,C#,2825,1,"['male', 'male', 'male', 'UnKnown']","['male', 'male', 'male', 'UnKnown']","['White', 'White', 'White', 'NAN']","['White', 'White', 'White', 'Unknown']",0.75,0.75,1,heterogeneous,0,0,6286,6286,C#,2315
MovingBlocks_Terasology,122,3,"['2017', '2018']",2,289019,Java,2859,1,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'API', 'API']","['White', 'API', 'API']",1,1,1,heterogeneous,0.444444444,0,2702,2702,Java,1210
RIOT-OS_RIOT,190,7,"['2018', '2017']",2,75063,C,2193,39,"['female', 'female', 'male', 'male', 'male', 'male', 'male']","['female', 'female', 'male', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'White', 'White', 'White', 'White']","['White', 'White', 'White', 'White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0.408163265,3030,3030,C,1478
scikit-image_scikit-image,76,7,"['2018', '2017']",2,61430,Python,2734,11,"['male', 'male', 'male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male', 'male', 'male']","['White', 'Unknown', 'White', 'White', 'White', 'White', 'White']","['White', 'Unknown', 'White', 'White', 'White', 'White', 'White']",0.857142857,1,1,heterogeneous,0,0,3399,3399,Python,1455
opensim-org_opensim-core,23,4,"['2017', '2016', '2018']",3,179871,C++,1663,3,"['male', 'male', 'male', 'UnKnown']","['male', 'male', 'male', 'UnKnown']","['White', 'API', 'API', 'NAN']","['White', 'API', 'API', 'Unknown']",0.75,0.75,1,heterogeneous,0.444444444,0,274,274,C++,148
qgis_QGIS-Documentation,26,4,"['2018', '2017', '2016']",3,754009,CSS,2133,11,"['UnKnown', 'male', 'UnKnown', 'male']","['UnKnown', 'male', 'UnKnown', 'male']","['White', 'White', 'White', 'White']","['White', 'White', 'White', 'White']",1,0.5,0,homogeneous,0,0,139,139,CSS,338
Conda_conda-build,83,4,"['2018', '2017', '2016']",3,24918,Python,1809,3.5,"['male', 'UnKnown', 'UnKnown', 'male']","['male', 'UnKnown', 'UnKnown', 'male']","['White', 'NAN', 'API', 'White']","['White', 'Unknown', 'API', 'White']",0.75,0.5,0,heterogeneous,0.444444444,0,201,201,Python,267
Conda_conda-build,82,4,"['2018', '2017', '2016']",3,24918,Python,1809,7.5,"['male', 'UnKnown', 'UnKnown', 'male']","['male', 'UnKnown', 'UnKnown', 'male']","['White', 'NAN', 'API', 'White']","['White', 'Unknown', 'API', 'White']",0.75,0.5,0,heterogeneous,0.444444444,0,201,201,Python,267
pymc-devs_pymc3,37,6,"['2017', '2018']",2,386077,Python,3527,5,"['male', 'male', 'UnKnown', 'male', 'male', 'male']","['male', 'male', 'UnKnown', 'male', 'male', 'male']","['White', 'White', 'API', 'White', 'White', 'White']","['White', 'White', 'API', 'White', 'White', 'White']",1,0.833333333,1,heterogeneous,0.277777778,0,4688,4688,Python,1134
RIOT-OS_RIOT,206,5,"['2018', '2017', '2016']",3,75063,C,2193,28,"['female', 'female', 'UnKnown', 'male', 'male']","['female', 'female', 'UnKnown', 'male', 'male']","['White', 'White', 'NAN', 'White', 'White']","['White', 'White', 'Unknown', 'White', 'White']",0.8,0.8,1,heterogeneous,0,0.5,3030,3030,C,1478
milkypostman_melpa,60,4,"['2018', '2017', '2016', '2015', '2014', '2013']",6,15174,Emacs Lisp,2644,1.5,"['male', 'male', 'male', 'male']","['male', 'male', 'male', 'male']","['White', 'White', 'Unknown', 'White']","['White', 'White', 'Unknown', 'White']",0.75,1,1,heterogeneous,0,0,1901,1901,Emacs Lisp,1761
openlayers_ol3,97,4,"['2018', '2017', '2016', '2015']",4,89424,JavaScript,2385,13.5,"['male', 'male', 'male', 'male']","['male', 'male', 'male', 'male']","['White', 'White', 'White', 'White']","['White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0,6082,6082,JavaScript,2117
openlayers_openlayers,97,4,"['2018', '2017', '2016', '2015']",4,89424,JavaScript,2385,13.5,"['male', 'male', 'male', 'male']","['male', 'male', 'male', 'male']","['White', 'White', 'White', 'White']","['White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0,6082,6082,JavaScript,2117
hazelcast_hazelcast,4,4,"['2015', '2018', '2017', '2016']",4,195880,Java,2476,0.5,"['male', 'UnKnown', 'male', 'male']","['male', 'UnKnown', 'male', 'male']","['White', 'Unknown', 'White', 'White']","['White', 'Unknown', 'White', 'White']",0.75,0.75,1,heterogeneous,0,0,3464,3464,Java,1228
Conda_conda-build,81,4,"['2018', '2017', '2016']",3,24918,Python,1809,3,"['male', 'UnKnown', 'male', 'male']","['male', 'UnKnown', 'male', 'male']","['White', 'NAN', 'White', 'White']","['White', 'Unknown', 'White', 'White']",0.75,0.75,1,heterogeneous,0,0,201,201,Python,267
Conda_conda-build,75,4,"['2018', '2017', '2016']",3,24918,Python,1809,5.5,"['male', 'UnKnown', 'male', 'UnKnown']","['male', 'UnKnown', 'male', 'UnKnown']","['White', 'NAN', 'White', 'API']","['White', 'Unknown', 'White', 'API']",0.75,0.5,0,heterogeneous,0.444444444,0,201,201,Python,267
opnsense_core,10,4,"['2018', '2017']",2,69507,PHP,1479,9.5,"['male', 'male', 'male', 'male']","['male', 'male', 'male', 'male']","['White', 'White', 'Unknown', 'White']","['White', 'White', 'Unknown', 'White']",0.75,1,1,heterogeneous,0,0,1104,1104,PHP,336
bitcoin_bitcoin,313,13,"['2018', '2017']",2,138573,C++,2934,43,"['male', 'male', 'male', 'male', 'male', 'UnKnown', 'UnKnown', 'male', 'male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male', 'UnKnown', 'UnKnown', 'male', 'male', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'White', 'Unknown', 'NAN', 'Unknown', 'White', 'White', 'White', 'White', 'API', 'White']","['White', 'White', 'White', 'White', 'Unknown', 'Unknown', 'Unknown', 'White', 'White', 'White', 'White', 'API', 'White']",0.769230769,0.846153846,1,heterogeneous,0.18,0,41565,41565,C++,24788
rabbitmq_rabbitmq-server,9,3,"['2017', '2015', '2018']",3,81209,Erlang,3024,3,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'White', 'White']","['White', 'White', 'White']",1,1,1,homogeneous,0,0,6594,6594,Erlang,2134
mantidproject_mantid,100,7,['2018'],1,596039,C++,2632,6,"['male', 'male', 'male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'White', 'White', 'White', 'Unknown']","['White', 'White', 'White', 'White', 'White', 'White', 'Unknown']",0.857142857,1,1,heterogeneous,0,0,121,121,C++,74
Metaswitch_calico,12,4,"['2016', '2017', '2015', '2018']",4,11836,Go,1649,2,"['male', 'male', 'male', 'unisex']","['male', 'male', 'male', 'unisex']","['White', 'White', 'White', 'White']","['White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0.375,802,802,Go,226
